category,language_pair,src_lang,tgt_lang,direction,late_submission,system_type,team,system,instrument,score
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TranssionMT,TranssionMT_primary,BLEU,23.20475687
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TranssionMT,TranssionMT_primary,METEOR,0.7027715381
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TranssionMT,TranssionMT_primary,ROUGE-L,0.6991164767
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TranssionMT,TranssionMT_primary,chrF,67.71235603
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TranssionMT,TranssionMT_primary,TER,55.81773227
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,TranssionMT,TranssionMT_primary,Cos Similarity,0.9197299945
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive1,BLEU,22.40658046
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive1,METEOR,0.6990099954
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive1,ROUGE-L,0.7045384225
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive1,chrF,67.08418902
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive1,TER,55.37232967
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive1,Cos Similarity,0.9181816257
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,BLEU,21.74597795
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,METEOR,0.6902954908
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,ROUGE-L,0.7034290386
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,chrF,65.76747493
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,TER,53.77135591
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,DoDS-IITPKD,DoDS-IITPKD_contrastive,Cos Similarity,0.9128342171
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,BLEU,21.39917423
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,METEOR,0.6945069068
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,ROUGE-L,0.7009906313
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,chrF,66.14344745
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,TER,54.90423815
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,Cos Similarity,0.9178570139
,Assamese to English,asm_Beng,eng_Latn,indic2en,False,contrastive,TranssionMT,TranssionMT_contrastive2,BLEU,20.09234893
